Jaar,Week,Groningen,Fryslan,Drenthe,Overijssel,Flevoland,Gelderland,Utrecht,Noord-Holland,Zuid-Holland,Zeeland,Noord-Brabant,Limburg
2020,51,25,-9.3,13.08,23.85,11.54,24.94,35.55,19.68,18.75,24.69,39.57,22.45
2020,52,17.95,9.92,7.34,32.43,28.3,29.07,35.38,18.56,14.58,-9.76,17.78,21.69
2020,53,26.05,16.54,21.62,25.66,67.92,22.66,21.96,23.08,24.23,22.62,32.02,27.09
2021,1,21.49,19.4,36.28,38.7,54.72,24.27,9.26,35.48,18.58,-1.16,17.96,41.9
2021,2,33.87,16.91,32.46,25.65,60.38,19.23,14.03,7.77,4.74,-13.79,11.29,33.46
2021,3,13.6,3.62,29.82,12.39,16.98,20.24,-7.24,10.71,18.65,14.61,15.25,16.92
2021,4,27.56,20.57,-7.69,-4.64,-20.75,1.64,-2.68,5.87,11.93,4.4,14.04,24.62
2021,5,3.91,21.99,3.42,5.93,5.66,-0.23,-0.44,7.25,5.14,22.83,8.65,6.25
2021,6,1.55,8.63,-7.69,1.29,0,-1.4,13.16,7.82,2.73,-2.17,5.73,-2.19
2021,7,10.08,17.14,6.9,0.86,5.77,-6.28,-4.35,8.21,2.46,-3.26,-0.38,6.86
2021,8,15.08,-2.14,13.04,-6.99,17.31,-8.9,-0.87,-5.02,-10.36,-5.43,-13.12,-8.99
2021,9,8,7.14,19.47,-9.61,-18.87,-9.98,-11.01,-9.59,-5.03,0,-16.67,-18.84
2021,10,-9.6,-17.73,-7.08,-3.11,11.32,-3.61,-4,-1.59,-0.6,31.46,-2.53,-13.19
2021,11,-8.94,-15.83,-16.22,-17.12,-5.77,-6.39,-15.07,-5.88,-2.58,11.49,-5.73,-10.11
2021,12,-16.53,-5.15,-6.48,-1.83,12,-7.3,-4.67,-1.87,-1.08,1.16,-6.11,-17.76
2021,13,-4.24,9.63,9.43,-0.47,12.5,-6.14,4.31,0.42,3.65,14.29,0.42,-1.99
2021,14,4.39,3.79,12.5,1.41,27.66,2.91,0,4.13,5.06,12.5,-0.86,1.23
2021,15,-11.5,-4.65,9.71,4.33,21.74,7.36,6.5,0.66,10.28,3.9,5.29,4.66
2021,16,6.31,-11.11,8.82,-2.46,15.56,13.19,11.62,4.67,1.18,1.32,13.96,14.66
2021,17,-6.48,-5.74,0,21.78,56.82,3.89,6.7,6.95,10.92,9.33,8.53,1.75
2021,18,-3.77,-3.31,14.14,1,18.6,-7.26,-4.66,7.48,10,24,5.59,8.44
2021,19,10.48,-13.45,8.08,5.08,32.56,11.55,1.57,-7.03,12.85,6.85,3.5,16.29
2021,20,3.85,-0.85,5.1,6.15,9.52,4.56,14.29,4.33,4.92,4.05,2.59,17.89
2021,21,5.83,0.86,2.06,-3.13,14.29,0.86,8.06,2.53,-4.94,14.67,-1.43,-3.24
2021,22,10.78,18.26,-7.29,7.29,36.59,6.63,10.75,11.06,1.96,14.67,9.31,10.28
2021,23,-1.94,4.35,8.33,14.21,7.14,10.2,-4.89,3.5,6.46,4,-0.72,0.93
2021,24,15.53,18.1,25.77,8.42,-9.3,12.17,-0.54,-9.11,-0.9,4.05,4.36,6.05
2021,25,-8.57,6.9,-5.21,7.94,-6.98,1.77,2.19,-4.45,-13,4.05,4.12,-11.16
2021,26,0,-8.55,-3.13,3.7,18.6,1.49,6.08,-2.12,4.32,1.37,0.98,4.63
2021,27,-5.77,-0.86,4.17,4.26,25,4.14,1.64,-0.47,5.2,-4.17,5.38,4.17
2021,28,-21.9,-12.17,1.03,3.19,28.89,10.12,24.04,1.41,-0.36,12.68,3.69,16.59
2021,29,-7.62,-7.83,2.06,7.61,4.44,-1.78,-20.43,6.81,1.43,41.67,0.74,-0.46
2021,30,6.86,3.51,-8.42,14.59,6.67,3.86,9.78,6.37,4.64,1.43,7.67,13.49
2021,31,1.98,3.54,7.45,20.88,11.36,4.52,0.55,3.79,9.17,31.43,16.09,9.39
2021,32,15,6.25,-26.32,1.09,0,9.91,4.92,7.09,6.51,8.7,4.75,-0.93
2021,33,9.28,25,-14.74,10.81,2.22,3.6,2.2,15.17,5.28,30,-2.76,17.54
2021,34,-11.34,10.62,-8.42,10.27,-2.27,8.84,13.81,16.9,10.73,-10.14,8.06,9
2021,35,15.46,8.93,-5.26,13.04,20.93,12.12,5.56,5.45,5.46,24.29,2.99,-8.57
2021,36,10.2,16.07,16.84,12.83,18.6,21.62,27.93,13.24,21.74,10.14,-0.25,2.83
2021,37,-7,10.62,1.04,-1.6,30.23,13.17,8.2,5.18,6.13,5.63,8.42,10.23
2021,38,6.93,10.43,-2.08,8.95,6.98,3.85,3.24,6.98,-1.96,30.99,6.78,2.3
2021,39,-4.9,10.34,15.63,3.66,20.45,14.16,23.24,11.32,8.77,13.89,7.45,10.65
2021,40,22.12,10.26,20.21,13.61,11.11,17.2,4.21,3.44,5.37,5.41,8.02,8.14
2021,41,3.81,13.56,21.28,2.59,6.38,12.1,5.73,12.33,4.67,4.05,5.59,6.73
2021,42,5.71,8.2,9.47,7.18,27.66,24.22,11.34,23.92,6.28,-3.95,10.21,26.99
2021,43,27.1,22.13,-2.08,16.84,25.53,21.71,16.41,15.09,11.64,22.08,16.63,26.55
2021,44,5.56,4.07,29.59,18.78,6.25,33.15,23.08,11.41,15.55,14.29,27.64,32.46
2021,45,43.12,28.69,27.27,35.86,25,32.49,29.29,15.81,21.37,12.66,37.61,47.83
2021,46,20,17.21,41,29.15,39.58,47.92,47.5,27.53,21.03,58.97,37.56,58.3
2021,47,26.13,30.4,27.18,41.38,56.25,50,28,27.37,32.24,57.69,42.32,75.85
2021,48,38.05,47.2,57.14,44.88,66.67,46.24,41.75,27.56,44.3,60.76,39.78,69.33
2021,49,20.18,41.94,59.05,43.69,40.82,50.93,30.29,32.63,30.84,68.35,51.83,62.5
2021,50,21.74,38.89,23.58,15.02,58.82,31.17,40,20.29,21.98,75.95,27.29,45.68
2021,51,16.24,19.23,6.48,6.36,32.08,8.65,16.9,14.46,15.71,45.68,23.16,27.53
2021,52,7.63,25.76,23.64,6.7,37.04,11.91,14.02,8.89,3.69,34.94,15.11,16.73
2022,1,-1.65,14.81,15.93,9.13,3.77,-5.31,6.45,0,0.87,9.3,4.88,9.45
2022,2,-4.84,16.06,-13.91,-3.9,15.09,-8.85,0,-9.67,-9.17,7.95,-5.62,-10.85
2022,3,-11.9,-5.8,-17.39,-10.21,7.55,-15.44,-3.15,-1.9,-2.72,-2.25,-1.58,-9.58
2022,4,-16.41,-7.8,-13.68,-7.56,-11.32,-8.62,-3.56,-3.77,-8.49,-6.59,-4.27,-4.89
2022,5,-14.06,-0.71,4.27,7.59,14.81,-7.42,-13.97,-4.18,-5.12,-13.98,-1.92,-12.82
2022,6,-19.38,-15,2.56,-11.54,-25,-5.81,5.68,0.95,-3.58,8.7,-10.08,-12.36
2022,7,1.54,-3.55,-7.69,3,11.54,1.16,-7.79,-1.9,-0.86,10.75,-7.75,-7.19
2022,8,7.87,-8.51,5.17,-13.48,-21.15,4.66,4.33,-9.04,-3.78,2.15,2.08,-5.71
2022,9,-15.87,-0.71,6.14,11.3,1.89,-4.96,-8.77,-2.53,-8.25,3.26,-10.31,-6.86
2022,10,10.4,14.18,-9.73,8.41,-16.98,-7.91,-7.08,3.97,0.44,-6.67,4.65,1.09
2022,11,2.44,6.43,6.31,3.6,30.77,13.69,7.27,4.24,1.81,29.89,20.47,10.45
2022,12,13.22,1.47,10.19,-6.39,26,15.08,14.42,9.73,11.25,-4.65,24.14,22.31
2022,13,7.63,9.63,19.63,16.67,64.58,15.56,12.86,19.87,14.38,15.48,5.01,-0.79
2022,14,7.89,5.3,15.24,27.7,8.51,19.26,16.02,17.97,18.83,19.75,13.28,11.89
2022,15,9.73,17.83,24.27,16.27,14.89,21.41,18,23.18,8.43,38.46,10.31,28.69
2022,16,24.11,14.17,10.78,12.25,22.22,19.95,-1.01,17.7,-2.18,-18.42,6.29,15.02
2022,17,0,20.49,13.86,1.49,31.82,9.14,10.26,0.22,16.67,17.33,2.52,0
2022,18,26.17,-0.83,10,4.98,25.58,0.84,6.7,9.71,9.79,-8,12.56,11.56
2022,19,18.87,10,10,1.01,25.58,16.25,8.85,16.25,1.38,22.97,7.46,2.7
2022,20,-4.76,27.73,17.35,14.87,26.19,13.07,3.68,3.17,0.53,-10.81,15.93,4.11
2022,21,3.85,3.45,16.33,5.7,39.53,4.57,-8.56,-0.69,3.69,6.67,6.16,4.61
2022,22,3.88,-3.45,13.54,8.81,30.95,1.72,4.28,4.59,11.21,17.33,6.19,-4.65
2022,23,5.83,-1.74,-6.25,2.62,42.86,14.83,15.68,1.62,6.26,-2.67,8.87,-4.19
2022,24,11.65,2.56,21.65,6.81,2.33,6.05,20.65,4.65,9.11,-13.33,12.29,6.51
2022,25,9.52,15.52,8.25,16.84,25.58,12.94,15.85,3.74,27.29,25.68,9.42,-2.31
2022,26,11.43,27.35,28.13,10,18.18,10.98,6.59,12.65,2.5,-6.85,22.2,20.37
2022,27,-8.57,12.93,20.83,-2.12,17.78,12.65,7.65,10.51,8.04,5.48,8.52,-3.69
2022,28,14.15,-1.72,15.46,2.65,15.56,10.39,17.93,18.65,12.19,8.33,9.54,12.44
2022,29,16.19,11.3,31.96,11.89,31.11,19.23,4.84,19.16,14.26,34.72,11.3,12.39
2022,30,7.84,10.53,6.25,20.54,42.22,22.49,4.86,20.19,7.12,-15.71,17.53,16.2
2022,31,1.96,-5.31,20,16.39,-8.89,14.11,8.2,7.55,9.84,-7.14,10.12,1.87
2022,32,10.89,5.31,25.26,15.85,11.11,18.26,-4.89,5.41,7.75,14.49,11.44,6.51
2022,33,18.37,10.71,27.08,11.35,22.22,14.37,15.93,18.68,10.34,0,18.5,-2.83
2022,34,21.65,21.24,14.74,18.92,-6.82,8.51,14.36,5.45,8.15,20,22.56,9.43
2022,35,-10.2,7.08,20.83,9.73,16.28,19.28,3.87,-2.59,8.89,2.86,18.66,13.27
2022,36,25.51,8.85,-4.21,6.91,2.33,11.38,3.33,8.02,7.39,14.29,12.16,-1.88
2022,37,11,-2.65,-10.42,2.12,6.98,11.61,-7.1,-4.69,8.96,-14.08,3.2,4.17
2022,38,-2.94,12.07,14.58,7.85,-4.55,11.21,22.04,13.19,8.36,5.63,3.14,1.38
2022,39,17.65,4.27,25,16.67,-24.44,28.53,24.19,11.98,15.56,5.48,3.59,14.29
2022,40,24.04,14.53,9.47,28.8,13.33,30.23,13.61,14.61,14.68,14.86,17.65,0.9
2022,41,0.95,5.08,12.77,19.59,6.38,31.81,13.54,8.88,19.31,17.33,13.26,15.18
2022,42,13.33,22.95,14.74,28.57,34.04,19.32,22.56,13.38,12.18,3.95,23.84,0.44
2022,43,4.67,9.76,45.36,14.8,-14.58,26.14,9.18,15.73,7.73,2.56,13.64,9.69
2022,44,0,8.94,35.71,15.74,33.33,9.52,19.9,6.92,10,5.13,3.36,5.68
2022,45,4.55,12.2,25.25,8.54,31.25,16.48,18.59,-2.22,1.83,-6.33,7.19,6.49
2022,46,-1.8,14.63,-7,11.56,18.37,12.4,16,2.41,6.92,1.28,7.52,3.81
2022,47,9.82,12.8,19.42,7.88,24.49,16.26,23.88,3.86,9.14,31.65,8.3,12.66
2022,48,13.27,22.22,15.24,4.85,29.17,8.56,7.77,13.62,11.82,-6.25,15.8,5.02
