"Municipality_code","Agegroup","GGD_name","Population_2021","Municipality_name","Province","Security_region_code","Security_region_name","ROAZ_region","GGD_code","SchoolRegion","Population_2020"
"GM0047","0-9","GGD Groningen",2478,"Veendam","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",2538
"GM0047","10-19","GGD Groningen",3191,"Veendam","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",3209
"GM0047","20-29","GGD Groningen",2814,"Veendam","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",2747
"GM0047","30-39","GGD Groningen",2866,"Veendam","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",2873
"GM0047","40-49","GGD Groningen",3491,"Veendam","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",3623
"GM0047","50-59","GGD Groningen",4320,"Veendam","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",4244
"GM0047","60-69","GGD Groningen",3760,"Veendam","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",3760
"GM0047","70-79","GGD Groningen",3003,"Veendam","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",2926
"GM0047","80-89","GGD Groningen",1251,"Veendam","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",1228
"GM0047","90+","GGD Groningen",243,"Veendam","Groningen","VR01","Groningen","Acute Zorgnetwerk Noord Nederland","GG0111","noord",236
"GM0050","0-9","GGD Flevoland",2521,"Zeewolde","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","midden",2484
"GM0050","10-19","GGD Flevoland",3016,"Zeewolde","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","midden",3089
"GM0050","20-29","GGD Flevoland",2871,"Zeewolde","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","midden",2985
"GM0050","30-39","GGD Flevoland",2887,"Zeewolde","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","midden",2773
"GM0050","40-49","GGD Flevoland",2862,"Zeewolde","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","midden",2968
"GM0050","50-59","GGD Flevoland",3963,"Zeewolde","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","midden",3907
"GM0050","60-69","GGD Flevoland",2593,"Zeewolde","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","midden",2422
"GM0050","70-79","GGD Flevoland",1474,"Zeewolde","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","midden",1361
"GM0050","80-89","GGD Flevoland",601,"Zeewolde","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","midden",588
"GM0050","90+","GGD Flevoland",91,"Zeewolde","Flevoland","VR25","Flevoland","SpoedZorgNet","GG2209","midden",76
"GM0059","0-9","GGD Fryslân",2931,"Achtkarspelen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",3013
"GM0059","10-19","GGD Fryslân",3724,"Achtkarspelen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",3741
"GM0059","20-29","GGD Fryslân",2990,"Achtkarspelen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2969
"GM0059","30-39","GGD Fryslân",3096,"Achtkarspelen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",3047
"GM0059","40-49","GGD Fryslân",3550,"Achtkarspelen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",3659
"GM0059","50-59","GGD Fryslân",3959,"Achtkarspelen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",3960
"GM0059","60-69","GGD Fryslân",3629,"Achtkarspelen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",3597
"GM0059","70-79","GGD Fryslân",2740,"Achtkarspelen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2611
"GM0059","80-89","GGD Fryslân",1102,"Achtkarspelen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",1079
"GM0059","90+","GGD Fryslân",179,"Achtkarspelen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",167
"GM0060","0-9","GGD Fryslân",345,"Ameland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",356
"GM0060","10-19","GGD Fryslân",394,"Ameland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",386
"GM0060","20-29","GGD Fryslân",465,"Ameland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",463
"GM0060","30-39","GGD Fryslân",433,"Ameland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",412
"GM0060","40-49","GGD Fryslân",436,"Ameland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",445
"GM0060","50-59","GGD Fryslân",537,"Ameland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",532
"GM0060","60-69","GGD Fryslân",485,"Ameland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",509
"GM0060","70-79","GGD Fryslân",456,"Ameland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",436
"GM0060","80-89","GGD Fryslân",161,"Ameland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",144
"GM0060","90+","GGD Fryslân",34,"Ameland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",33
"GM0072","0-9","GGD Fryslân",1409,"Harlingen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",1427
"GM0072","10-19","GGD Fryslân",1862,"Harlingen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",1943
"GM0072","20-29","GGD Fryslân",1527,"Harlingen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",1469
"GM0072","30-39","GGD Fryslân",1530,"Harlingen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",1541
"GM0072","40-49","GGD Fryslân",1857,"Harlingen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",1894
"GM0072","50-59","GGD Fryslân",2397,"Harlingen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2361
"GM0072","60-69","GGD Fryslân",2214,"Harlingen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2195
"GM0072","70-79","GGD Fryslân",2099,"Harlingen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2014
"GM0072","80-89","GGD Fryslân",784,"Harlingen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",750
"GM0072","90+","GGD Fryslân",128,"Harlingen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",128
"GM0074","0-9","GGD Fryslân",4961,"Heerenveen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",5070
"GM0074","10-19","GGD Fryslân",6151,"Heerenveen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",6170
"GM0074","20-29","GGD Fryslân",5272,"Heerenveen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",5187
"GM0074","30-39","GGD Fryslân",5458,"Heerenveen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",5471
"GM0074","40-49","GGD Fryslân",6421,"Heerenveen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",6614
"GM0074","50-59","GGD Fryslân",7774,"Heerenveen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",7587
"GM0074","60-69","GGD Fryslân",6466,"Heerenveen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",6419
"GM0074","70-79","GGD Fryslân",5216,"Heerenveen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",5140
"GM0074","80-89","GGD Fryslân",2429,"Heerenveen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2335
"GM0074","90+","GGD Fryslân",502,"Heerenveen","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",500
"GM0080","0-9","GGD Fryslân",11907,"Leeuwarden","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",12116
"GM0080","10-19","GGD Fryslân",14107,"Leeuwarden","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",14179
"GM0080","20-29","GGD Fryslân",20059,"Leeuwarden","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",20113
"GM0080","30-39","GGD Fryslân",15609,"Leeuwarden","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",15414
"GM0080","40-49","GGD Fryslân",14591,"Leeuwarden","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",14747
"GM0080","50-59","GGD Fryslân",16817,"Leeuwarden","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",16716
"GM0080","60-69","GGD Fryslân",14680,"Leeuwarden","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",14581
"GM0080","70-79","GGD Fryslân",10997,"Leeuwarden","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",10614
"GM0080","80-89","GGD Fryslân",4720,"Leeuwarden","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",4620
"GM0080","90+","GGD Fryslân",994,"Leeuwarden","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",984
"GM0085","0-9","GGD Fryslân",2322,"Ooststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2384
"GM0085","10-19","GGD Fryslân",2792,"Ooststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2860
"GM0085","20-29","GGD Fryslân",2433,"Ooststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2381
"GM0085","30-39","GGD Fryslân",2580,"Ooststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2562
"GM0085","40-49","GGD Fryslân",2987,"Ooststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",3115
"GM0085","50-59","GGD Fryslân",4092,"Ooststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",4065
"GM0085","60-69","GGD Fryslân",3758,"Ooststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",3743
"GM0085","70-79","GGD Fryslân",2938,"Ooststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2834
"GM0085","80-89","GGD Fryslân",1325,"Ooststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",1292
"GM0085","90+","GGD Fryslân",237,"Ooststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",233
"GM0086","0-9","GGD Fryslân",2920,"Opsterland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2930
"GM0086","10-19","GGD Fryslân",3690,"Opsterland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",3758
"GM0086","20-29","GGD Fryslân",3069,"Opsterland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2979
"GM0086","30-39","GGD Fryslân",3005,"Opsterland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2969
"GM0086","40-49","GGD Fryslân",3511,"Opsterland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",3663
"GM0086","50-59","GGD Fryslân",4786,"Opsterland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",4809
"GM0086","60-69","GGD Fryslân",4203,"Opsterland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",4117
"GM0086","70-79","GGD Fryslân",3028,"Opsterland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2930
"GM0086","80-89","GGD Fryslân",1333,"Opsterland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",1320
"GM0086","90+","GGD Fryslân",267,"Opsterland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",258
"GM0088","0-9","GGD Fryslân",54,"Schiermonnikoog","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",63
"GM0088","10-19","GGD Fryslân",71,"Schiermonnikoog","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",74
"GM0088","20-29","GGD Fryslân",95,"Schiermonnikoog","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",96
"GM0088","30-39","GGD Fryslân",86,"Schiermonnikoog","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",86
"GM0088","40-49","GGD Fryslân",103,"Schiermonnikoog","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",118
"GM0088","50-59","GGD Fryslân",162,"Schiermonnikoog","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",158
"GM0088","60-69","GGD Fryslân",160,"Schiermonnikoog","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",154
"GM0088","70-79","GGD Fryslân",126,"Schiermonnikoog","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",125
"GM0088","80-89","GGD Fryslân",64,"Schiermonnikoog","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",60
"GM0088","90+","GGD Fryslân",10,"Schiermonnikoog","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",13
"GM0090","0-9","GGD Fryslân",5628,"Smallingerland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",5751
"GM0090","10-19","GGD Fryslân",6870,"Smallingerland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",6929
"GM0090","20-29","GGD Fryslân",6105,"Smallingerland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",6122
"GM0090","30-39","GGD Fryslân",6447,"Smallingerland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",6483
"GM0090","40-49","GGD Fryslân",6781,"Smallingerland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",6917
"GM0090","50-59","GGD Fryslân",8420,"Smallingerland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",8406
"GM0090","60-69","GGD Fryslân",6954,"Smallingerland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",6808
"GM0090","70-79","GGD Fryslân",5761,"Smallingerland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",5739
"GM0090","80-89","GGD Fryslân",2608,"Smallingerland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2549
"GM0090","90+","GGD Fryslân",466,"Smallingerland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",446
"GM0093","0-9","GGD Fryslân",344,"Terschelling","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",365
"GM0093","10-19","GGD Fryslân",507,"Terschelling","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",504
"GM0093","20-29","GGD Fryslân",732,"Terschelling","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",735
"GM0093","30-39","GGD Fryslân",478,"Terschelling","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",495
"GM0093","40-49","GGD Fryslân",568,"Terschelling","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",595
"GM0093","50-59","GGD Fryslân",741,"Terschelling","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",731
"GM0093","60-69","GGD Fryslân",631,"Terschelling","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",625
"GM0093","70-79","GGD Fryslân",569,"Terschelling","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",570
"GM0093","80-89","GGD Fryslân",246,"Terschelling","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",222
"GM0093","90+","GGD Fryslân",54,"Terschelling","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",46
"GM0096","0-9","GGD Fryslân",68,"Vlieland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",62
"GM0096","10-19","GGD Fryslân",109,"Vlieland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",119
"GM0096","20-29","GGD Fryslân",229,"Vlieland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",196
"GM0096","30-39","GGD Fryslân",122,"Vlieland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",115
"GM0096","40-49","GGD Fryslân",145,"Vlieland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",156
"GM0096","50-59","GGD Fryslân",204,"Vlieland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",207
"GM0096","60-69","GGD Fryslân",167,"Vlieland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",148
"GM0096","70-79","GGD Fryslân",108,"Vlieland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",114
"GM0096","80-89","GGD Fryslân",37,"Vlieland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",32
"GM0096","90+","GGD Fryslân",5,"Vlieland","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",6
"GM0098","0-9","GGD Fryslân",2474,"Weststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2503
"GM0098","10-19","GGD Fryslân",2917,"Weststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2946
"GM0098","20-29","GGD Fryslân",2580,"Weststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2478
"GM0098","30-39","GGD Fryslân",2771,"Weststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2761
"GM0098","40-49","GGD Fryslân",3024,"Weststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",3098
"GM0098","50-59","GGD Fryslân",3986,"Weststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",4005
"GM0098","60-69","GGD Fryslân",3810,"Weststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",3661
"GM0098","70-79","GGD Fryslân",2867,"Weststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",2812
"GM0098","80-89","GGD Fryslân",1424,"Weststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",1362
"GM0098","90+","GGD Fryslân",277,"Weststellingwerf","Fryslân","VR02","Fryslân","Acute Zorgnetwerk Noord Nederland","GG7206","noord",288
"GM0106","0-9","GGD Drenthe",6641,"Assen","Drenthe","VR03","Drenthe","Acute Zorgnetwerk Noord Nederland","GG0706","noord",6740
"GM0106","10-19","GGD Drenthe",8569,"Assen","Drenthe","VR03","Drenthe","Acute Zorgnetwerk Noord Nederland","GG0706","noord",8708
"GM0106","20-29","GGD Drenthe",7596,"Assen","Drenthe","VR03","Drenthe","Acute Zorgnetwerk Noord Nederland","GG0706","noord",7359
"GM0106","30-39","GGD Drenthe",7972,"Assen","Drenthe","VR03","Drenthe","Acute Zorgnetwerk Noord Nederland","GG0706","noord",7924
"GM0106","40-49","GGD Drenthe",8799,"Assen","Drenthe","VR03","Drenthe","Acute Zorgnetwerk Noord Nederland","GG0706","noord",9147
"GM0106","50-59","GGD Drenthe",10349,"Assen","Drenthe","VR03","Drenthe","Acute Zorgnetwerk Noord Nederland","GG0706","noord",10278
"GM0106","60-69","GGD Drenthe",8869,"Assen","Drenthe","VR03","Drenthe","Acute Zorgnetwerk Noord Nederland","GG0706","noord",8677
"GM0106","70-79","GGD Drenthe",6570,"Assen","Drenthe","VR03","Drenthe","Acute Zorgnetwerk Noord Nederland","GG0706","noord",6354
"GM0106","80-89","GGD Drenthe",2928,"Assen","Drenthe","VR03","Drenthe","Acute Zorgnetwerk Noord Nederland","GG0706","noord",2852
"GM0106","90+","GGD Drenthe",543,"Assen","Drenthe","VR03","Drenthe","Acute Zorgnetwerk Noord Nederland","GG0706","noord",560
"GM0109","0-9","GGD Drenthe",3157,"Coevorden","Drenthe","VR03","Drenthe","Acute Zorgnetwerk Noord Nederland","GG0706","noord",3185
"GM0109","10-19","GGD Drenthe",4039,"Coevorden","Drenthe","VR03","Drenthe","Acute Zorgnetwerk Noord Nederland","GG0706","noord",4180
"GM0109","20-29","GGD Drenthe",3399,"Coevorden","Drenthe","VR03","Drenthe","Acute Zorgnetwerk Noord Nederland","GG0706","noord",3261
"GM0109","30-39","GGD Drenthe",3408,"Coevorden","Drenthe","VR03","Drenthe","Acute Zorgnetwerk Noord Nederland","GG0706","noord",3424
"GM0109","40-49","GGD Drenthe",4049,"Coevorden","Drenthe","VR03","Drenthe","Acute Zorgnetwerk Noord Nederland","GG0706","noord",4212
